"Country or Area","Year(s)","Variant","Value"
"Afghanistan","2045-2050","Medium","2.26"
"Afghanistan","2040-2045","Medium","2.426"
"Afghanistan","2035-2040","Medium","2.632"
"Afghanistan","2030-2035","Medium","2.908"
"Afghanistan","2025-2030","Medium","3.301"
"Afghanistan","2020-2025","Medium","3.851"
"Afghanistan","2015-2020","Medium","4.555"
"Afghanistan","2010-2015","Medium","5.447"
"Afghanistan","2005-2010","Medium","6.478"
"Afghanistan","2000-2005","Medium","7.182"
"Afghanistan","1995-2000","Medium","7.654"
"Afghanistan","1990-1995","Medium","7.482"
"Afghanistan","1985-1990","Medium","7.469"
"Afghanistan","1980-1985","Medium","7.45"
"Afghanistan","1975-1980","Medium","7.45"
"Afghanistan","1970-1975","Medium","7.45"
"Afghanistan","1965-1970","Medium","7.45"
"Afghanistan","1960-1965","Medium","7.45"
"Afghanistan","1955-1960","Medium","7.45"
"Afghanistan","1950-1955","Medium","7.45"
"Africa","2045-2050","Medium","3.071"
"Africa","2040-2045","Medium","3.242"
"Africa","2035-2040","Medium","3.434"
"Africa","2030-2035","Medium","3.651"
"Africa","2025-2030","Medium","3.893"
"Africa","2020-2025","Medium","4.155"
"Africa","2015-2020","Medium","4.438"
"Africa","2010-2015","Medium","4.73"
"Africa","2005-2010","Medium","4.9"
"Africa","2000-2005","Medium","5.077"
"Africa","1995-2000","Medium","5.351"
"Africa","1990-1995","Medium","5.724"
"Africa","1985-1990","Medium","6.187"
"Africa","1980-1985","Medium","6.501"
"Africa","1975-1980","Medium","6.64"
"Africa","1970-1975","Medium","6.703"
"Africa","1965-1970","Medium","6.706"
"Africa","1960-1965","Medium","6.699"
"Africa","1955-1960","Medium","6.625"
"Africa","1950-1955","Medium","6.573"
"Algeria","2045-2050","Medium","2.131"
"Algeria","2040-2045","Medium","2.213"
"Algeria","2035-2040","Medium","2.312"
"Algeria","2030-2035","Medium","2.433"
"Algeria","2025-2030","Medium","2.59"
"Algeria","2020-2025","Medium","2.789"
"Algeria","2015-2020","Medium","3.05"
"Algeria","2010-2015","Medium","2.96"
"Algeria","2005-2010","Medium","2.724"
"Algeria","2000-2005","Medium","2.384"
"Algeria","1995-2000","Medium","2.885"
"Algeria","1990-1995","Medium","4.12"
"Algeria","1985-1990","Medium","5.302"
"Algeria","1980-1985","Medium","6.315"
"Algeria","1975-1980","Medium","7.175"
"Algeria","1970-1975","Medium","7.572"
"Algeria","1965-1970","Medium","7.648"
"Algeria","1960-1965","Medium","7.648"
"Algeria","1955-1960","Medium","7.384"
"Algeria","1950-1955","Medium","7.278"
"Angola","2045-2050","Medium","3.882"
"Angola","2040-2045","Medium","4.106"
"Angola","2035-2040","Medium","4.342"
"Angola","2030-2035","Medium","4.616"
"Angola","2025-2030","Medium","4.904"
"Angola","2020-2025","Medium","5.213"
"Angola","2015-2020","Medium","5.55"
"Angola","2010-2015","Medium","6"
"Angola","2005-2010","Medium","6.35"
"Angola","2000-2005","Medium","6.55"
"Angola","1995-2000","Medium","6.75"
"Angola","1990-1995","Medium","7.1"
"Angola","1985-1990","Medium","7.4"
"Angola","1980-1985","Medium","7.456"
"Angola","1975-1980","Medium","7.456"
"Angola","1970-1975","Medium","7.5"
"Angola","1965-1970","Medium","7.3"
"Angola","1960-1965","Medium","6.9"
"Angola","1955-1960","Medium","6.5"
"Angola","1950-1955","Medium","6"
"Antigua and Barbuda","2045-2050","Medium","1.805"
"Antigua and Barbuda","2040-2045","Medium","1.82"
"Antigua and Barbuda","2035-2040","Medium","1.847"
"Antigua and Barbuda","2030-2035","Medium","1.874"
"Antigua and Barbuda","2025-2030","Medium","1.912"
"Antigua and Barbuda","2020-2025","Medium","1.95"
"Antigua and Barbuda","2015-2020","Medium","2"
"Antigua and Barbuda","2010-2015","Medium","2"
"Antigua and Barbuda","2005-2010","Medium","2"
"Antigua and Barbuda","2000-2005","Medium","2.16"
"Antigua and Barbuda","1995-2000","Medium","2.2"
"Antigua and Barbuda","1990-1995","Medium","2.09"
"Antigua and Barbuda","1985-1990","Medium","2.07"
"Antigua and Barbuda","1980-1985","Medium","2.14"
"Antigua and Barbuda","1975-1980","Medium","2.24"
"Antigua and Barbuda","1970-1975","Medium","3.26"
"Antigua and Barbuda","1965-1970","Medium","4"
"Antigua and Barbuda","1960-1965","Medium","4.3"
"Antigua and Barbuda","1955-1960","Medium","4.5"
"Antigua and Barbuda","1950-1955","Medium","4.5"
"Australia","2045-2050","Medium","1.719"
"Australia","2040-2045","Medium","1.723"
"Australia","2035-2040","Medium","1.731"
"Australia","2030-2035","Medium","1.746"
"Australia","2025-2030","Medium","1.759"
"Australia","2020-2025","Medium","1.784"
"Australia","2015-2020","Medium","1.832"
"Australia","2010-2015","Medium","1.885"
"Australia","2005-2010","Medium","1.952"
"Australia","2000-2005","Medium","1.774"
"Australia","1995-2000","Medium","1.787"
"Australia","1990-1995","Medium","1.863"
"Australia","1985-1990","Medium","1.859"
"Australia","1980-1985","Medium","1.91"
"Australia","1975-1980","Medium","1.989"
"Australia","1970-1975","Medium","2.535"
"Australia","1965-1970","Medium","2.871"
"Australia","1960-1965","Medium","3.274"
"Australia","1955-1960","Medium","3.406"
"Australia","1950-1955","Medium","3.18"
"Brazil","2045-2050","Medium","1.572"
"Brazil","2040-2045","Medium","1.563"
"Brazil","2035-2040","Medium","1.565"
"Brazil","2030-2035","Medium","1.584"
"Brazil","2025-2030","Medium","1.613"
"Brazil","2020-2025","Medium","1.668"
"Brazil","2015-2020","Medium","1.74"
"Brazil","2010-2015","Medium","1.77"
"Brazil","2005-2010","Medium","1.86"
"Brazil","2000-2005","Medium","2.13"
"Brazil","1995-2000","Medium","2.47"
"Brazil","1990-1995","Medium","2.72"
"Brazil","1985-1990","Medium","3.144"
"Brazil","1980-1985","Medium","3.801"
"Brazil","1975-1980","Medium","4.237"
"Brazil","1970-1975","Medium","4.633"
"Brazil","1965-1970","Medium","5.343"
"Brazil","1960-1965","Medium","5.97"
"Brazil","1955-1960","Medium","6.06"
"Brazil","1950-1955","Medium","6.1"
"South Africa","2045-2050","Medium","1.955"
"South Africa","2040-2045","Medium","2.005"
"South Africa","2035-2040","Medium","2.069"
"South Africa","2030-2035","Medium","2.137"
"South Africa","2025-2030","Medium","2.218"
"South Africa","2020-2025","Medium","2.309"
"South Africa","2015-2020","Medium","2.414"
"South Africa","2010-2015","Medium","2.55"
"South Africa","2005-2010","Medium","2.625"
"South Africa","2000-2005","Medium","2.612"
"South Africa","1995-2000","Medium","2.876"
"South Africa","1990-1995","Medium","3.507"
"South Africa","1985-1990","Medium","4.4"
"South Africa","1980-1985","Medium","4.899"
"South Africa","1975-1980","Medium","5.05"
"South Africa","1970-1975","Medium","5.5"
"South Africa","1965-1970","Medium","5.8"
"South Africa","1960-1965","Medium","6"
"South Africa","1955-1960","Medium","6.05"
"South Africa","1950-1955","Medium","6.05"
"United Kingdom","2045-2050","Medium","1.771"
"United Kingdom","2040-2045","Medium","1.77"
"United Kingdom","2035-2040","Medium","1.766"
"United Kingdom","2030-2035","Medium","1.763"
"United Kingdom","2025-2030","Medium","1.759"
"United Kingdom","2020-2025","Medium","1.754"
"United Kingdom","2015-2020","Medium","1.75"
"United Kingdom","2010-2015","Medium","1.866"
"United Kingdom","2005-2010","Medium","1.862"
"United Kingdom","2000-2005","Medium","1.655"
"United Kingdom","1995-2000","Medium","1.735"
"United Kingdom","1990-1995","Medium","1.775"
"United Kingdom","1985-1990","Medium","1.835"
"United Kingdom","1980-1985","Medium","1.775"
"United Kingdom","1975-1980","Medium","1.73"
"United Kingdom","1970-1975","Medium","2.01"
"United Kingdom","1965-1970","Medium","2.57"
"United Kingdom","1960-1965","Medium","2.81"
"United Kingdom","1955-1960","Medium","2.49"
"United Kingdom","1950-1955","Medium","2.18"
"United States of America","2045-2050","Medium","1.806"
"United States of America","2040-2045","Medium","1.802"
"United States of America","2035-2040","Medium","1.8"
"United States of America","2030-2035","Medium","1.797"
"United States of America","2025-2030","Medium","1.792"
"United States of America","2020-2025","Medium","1.784"
"United States of America","2015-2020","Medium","1.776"
"United States of America","2010-2015","Medium","1.875"
"United States of America","2005-2010","Medium","2.055"
"United States of America","2000-2005","Medium","2.042"
"United States of America","1995-2000","Medium","1.996"
"United States of America","1990-1995","Medium","2.03"
"United States of America","1985-1990","Medium","1.915"
"United States of America","1980-1985","Medium","1.804"
"United States of America","1975-1980","Medium","1.772"
"United States of America","1970-1975","Medium","2.029"
"United States of America","1965-1970","Medium","2.543"
"United States of America","1960-1965","Medium","3.234"
"United States of America","1955-1960","Medium","3.582"
"United States of America","1950-1955","Medium","3.311"

