name,id,latitude,longitude
7-ELEVEN-SHELL,1,34.22762343,-118.2460209
QUIK-N-EZ,2,33.94494076,-118.2125865
7-ELEVEN STORE 39832A,3,34.103487,-118.338412
7-ELEVEN STORE 39833A,4,34.06896067,-118.29621
7-ELEVEN STORE-39362A,5,34.18522236,-118.3485616
7-ELEVEN STORES #25887,6,34.04671222,-118.4482091
7-ELEVEN STREET# 18949,7,34.179246,-118.4394523
7-ELEVEN# 19197D,8,34.04450889,-118.1615284
7-ELEVEN#24596-A-2133,9,34.25741188,-118.6057518
7-ELEVEN #32696,10,34.25805235,-118.5235207
7-ELEVEN-#13832-E,11,34.09137016,-118.1196641
7-ELVEN #24131 B,12,34.09093497,-118.3553465
R E I,13,34.14270455,-118.0307596
Q- BARGAIN,14,34.03839741,-118.1451289
RANCHO ZAPOTILLO ( MEAT MARK,15,34.05010324,-118.1967288
QUICKIE MINI MARKET,16,34.19388347,-118.4753991
76 STATION,17,33.97310614,-118.0747295
76 TORRANCE / 7-ELEVEN 39667A,18,33.83605392,-118.3291043
PUNJAB GROCERY STORE,19,34.10121648,-118.1133089
RACHEL & BEN'S ARCO,20,34.11341671,-118.0038504
QUAKER STATE LIQUOR,21,34.08357423,-118.3417672
RAAD MART,22,33.98869126,-118.2827224
RANCHO SINALOA,23,34.07645669,-118.2951049
RANCHO LATING,24,33.94420374,-118.2078868
PRESSED JUICERY,25,33.88508481,-118.4092877
RAMIREZ MEAT MARKET,26,34.08551152,-117.9671896
PRIME LIQUOR MARKET,27,34.17364748,-118.3166079
QUINTINS MOBIL,28,34.03745856,-117.9495071
QUIX TOP MINEMART,29,34.00682783,-117.9091206
PRESSED JUICERY,30,34.04851125,-118.4907594
RAFFI'S CHEVRON,31,34.03305143,-118.3346166
RAJO AFRICAN PRODUCT MARKET,32,33.99339815,-118.330446
R&L LIQUOR,33,33.91682123,-118.3088201
QUANG HOA SUPERMARKET - MEAT MARKET,34,34.06244048,-118.1173715
PUMAS MEAT MARKET,35,33.9516809,-118.278432
QUICK STOP MARKET,36,33.87299667,-118.369888
QUARTZ HILL 76,37,34.65264394,-118.2183616
RAMIREZ LIQUOR,38,33.96873268,-118.0961156
QUAN SERVICE CENTER INC.,39,34.03357517,-118.152059
RABBI'S DAUGHTER BUTCHER SHOP,40,34.04198717,-118.4298961
R-RANCH MARKET,41,34.03225408,-118.355979
RALPH'S PARTY SUPPLY,42,34.02411416,-118.1396251
PRATUNUM MARKET / MEAT DEPARTMENT,43,34.22089539,-118.4142158
RAINBOW MARKET,44,34.49464712,-118.6238413
QUANG HOA SUPERMARKET - MAIN MARKET,45,34.06244048,-118.1173715
PUEBLO LIQUOR,46,34.02244737,-118.1678963
Q AND M MARKET,47,33.95395224,-118.258971
RAFI'S CHEVRON #1,48,33.82691285,-118.3686618
RANCHO VERDE MARKET,49,34.01641618,-118.1788274
PRONTO FUEL,50,34.05265094,-118.2038539
RANCHO PARK PHARMACY,51,34.04374974,-118.4218417
QUEEN'S MARKET,52,33.99686131,-118.447721
R.M. MARKET,53,33.93150049,-118.3001318
QQ BARGAIN,54,34.01371237,-117.9227936
